district,crop,season,year,avg_percent,payout
Latur,Mango,Rabi,2020,58.9,82460
Latur,Mango,Rabi,2021,50,70000
Latur,Mango,Rabi,2022,47.7,66780
Latur,Mango,Rabi,2023,64.6,90440
Nanded,Pomegranate,Kharif,2020,9.3,12090
Nanded,Pomegranate,Kharif,2021,10,13000
Nanded,Pomegranate,Kharif,2022,19.28,25057.5
Nanded,Pomegranate,Kharif,2023,39.45,51285
Nanded,Pomegranate,Rabi,2020,0,0
Nanded,Pomegranate,Rabi,2021,0,0
Nanded,Pomegranate,Rabi,2022,0,0
Nanded,Pomegranate,Rabi,2023,0,0
Nanded,Mango,Kharif,2020,0,0
Nanded,Mango,Kharif,2021,0,0
Nanded,Mango,Kharif,2022,0,0
Nanded,Mango,Kharif,2023,0,0
Nanded,Mango,Rabi,2020,59.2,82880
Nanded,Mango,Rabi,2021,40,56000
Nanded,Mango,Rabi,2022,53.27,74585
Nanded,Mango,Rabi,2023,46.02,64435
Nandurbar,Pomegranate,Kharif,2020,9.68,12577.5
Nandurbar,Pomegranate,Kharif,2021,10,13000
Nandurbar,Pomegranate,Kharif,2022,19.35,25155
Nandurbar,Pomegranate,Kharif,2023,50,65000
Nandurbar,Pomegranate,Rabi,2020,0,0
Nandurbar,Pomegranate,Rabi,2021,0,0
Nandurbar,Pomegranate,Rabi,2022,0,0
Nandurbar,Pomegranate,Rabi,2023,0,0
Nandurbar,Mango,Kharif,2020,0,0
Nandurbar,Mango,Kharif,2021,0,0
Nandurbar,Mango,Kharif,2022,0,0
Nandurbar,Mango,Kharif,2023,0,0
Nandurbar,Mango,Rabi,2020,64.9,90860
Nandurbar,Mango,Rabi,2021,52.97,74165
Nandurbar,Mango,Rabi,2022,41.08,57505
Nandurbar,Mango,Rabi,2023,66.95,93730
Nashik,Pomegranate,Kharif,2020,0,0
Nashik,Pomegranate,Kharif,2021,9.8,12740
Nashik,Pomegranate,Kharif,2022,9.85,12805
Nashik,Pomegranate,Kharif,2023,48.2,62660
Nashik,Pomegranate,Rabi,2020,0,0
Nashik,Pomegranate,Rabi,2021,0,0
Nashik,Pomegranate,Rabi,2022,0,0
Nashik,Pomegranate,Rabi,2023,0,0
Nashik,Mango,Kharif,2020,0,0
Nashik,Mango,Kharif,2021,0,0
Nashik,Mango,Kharif,2022,0,0
Nashik,Mango,Kharif,2023,0,0
Nashik,Mango,Rabi,2020,49.38,69125
Nashik,Mango,Rabi,2021,39.7,55580
Nashik,Mango,Rabi,2022,46.98,65765
Nashik,Mango,Rabi,2023,58.95,82530
Osmanabad,Pomegranate,Kharif,2020,0,0
Osmanabad,Pomegranate,Kharif,2021,19.93,25902.5
Osmanabad,Pomegranate,Kharif,2022,19.55,25415
Osmanabad,Pomegranate,Kharif,2023,40,52000
Osmanabad,Pomegranate,Rabi,2020,0,0
Osmanabad,Pomegranate,Rabi,2021,0,0
Osmanabad,Pomegranate,Rabi,2022,0,0
Osmanabad,Pomegranate,Rabi,2023,0,0
Osmanabad,Mango,Kharif,2020,0,0
Osmanabad,Mango,Kharif,2021,0,0
Osmanabad,Mango,Kharif,2022,0,0
Osmanabad,Mango,Kharif,2023,0,0
Osmanabad,Mango,Rabi,2020,41.52,58135
Osmanabad,Mango,Rabi,2021,38.52,53935
Osmanabad,Mango,Rabi,2022,51.65,72310
Osmanabad,Mango,Rabi,2023,55.4,77560
Palghar,Pomegranate,Kharif,2020,0,0
Palghar,Pomegranate,Kharif,2021,9.18,11927.5
Palghar,Pomegranate,Kharif,2022,0,0
Palghar,Pomegranate,Kharif,2023,18.35,23855
Palghar,Pomegranate,Rabi,2020,0,0
Palghar,Pomegranate,Rabi,2021,0,0
Palghar,Pomegranate,Rabi,2022,0,0
Palghar,Pomegranate,Rabi,2023,0,0
Palghar,Mango,Kharif,2020,0,0
Palghar,Mango,Kharif,2021,0,0
