district,crop,season,year,avg_percent,payout
Sindhudurg,Pomegranate,Rabi,2023,0.0,0.0
Sindhudurg,Mango,Kharif,2020,0.0,0.0
Sindhudurg,Mango,Kharif,2021,0.0,0.0
Sindhudurg,Mango,Kharif,2022,0.0,0.0
Sindhudurg,Mango,Kharif,2023,0.0,0.0
Sindhudurg,Mango,Rabi,2021,0.0,0.0
Sindhudurg,Mango,Rabi,2023,22.5,31500.0
Solapur,Pomegranate,Rabi,2020,0.0,0.0
Solapur,Pomegranate,Rabi,2021,0.0,0.0
Solapur,Pomegranate,Rabi,2022,0.0,0.0
Solapur,Pomegranate,Rabi,2023,0.0,0.0
Solapur,Mango,Kharif,2020,0.0,0.0
Solapur,Mango,Kharif,2021,0.0,0.0
Solapur,Mango,Kharif,2022,0.0,0.0
Solapur,Mango,Kharif,2023,0.0,0.0
Thane,Pomegranate,Kharif,2020,0.0,0.0
Thane,Pomegranate,Kharif,2022,0.0,0.0
Thane,Pomegranate,Rabi,2020,0.0,0.0
Thane,Pomegranate,Rabi,2021,0.0,0.0
Thane,Pomegranate,Rabi,2022,0.0,0.0
Thane,Pomegranate,Rabi,2023,0.0,0.0
Thane,Mango,Kharif,2020,0.0,0.0
Thane,Mango,Kharif,2021,0.0,0.0
Thane,Mango,Kharif,2022,0.0,0.0
Thane,Mango,Kharif,2023,0.0,0.0
Thane,Mango,Rabi,2023,0.0,0.0
Washim,Pomegranate,Kharif,2020,0.0,0.0
Washim,Pomegranate,Rabi,2020,0.0,0.0
Washim,Pomegranate,Rabi,2021,0.0,0.0
Washim,Pomegranate,Rabi,2022,0.0,0.0
Washim,Pomegranate,Rabi,2023,0.0,0.0
Washim,Mango,Kharif,2020,0.0,0.0
Washim,Mango,Kharif,2021,0.0,0.0
Washim,Mango,Kharif,2022,0.0,0.0
Washim,Mango,Kharif,2023,0.0,0.0
